http://www.bbc.com/news/world-middle-east-25810934,Christine Jeavans        
http://www.youtube.com/watch?v=sReCLWr4QYU,News Daily Planet +         
http://balkanmun.soekin.org/Study_Guide_of_SECURITY_COUNCIL.pdf,         
http://www.press-report.net/clanek-20923956-more-chemical-tainted-fruits-destroyed,         
http://middleeast.about.com/od/mediacultureandthearts/a/Latest-News-In-The-Middle-East-February-24-March-2-2014.htm,Primoz Manfreda        
http://www.atpinc.com/p2-4a.php?sn=00000395,         
http://en.wikipedia.org/wiki/Industrial-grade_prime,         
http://www.dow.com/propyleneglycol/products/industrial_grade.htm,         
http://cheaptubes.com/industrialgrademwnts.htm,         
http://www.lyondellbasell.com/Products/ByCategory/basic-chemicals/IntermediateChemicalsAndGlycols/PropyleneGlycolIndustrialGrade/,         
http://www.corning.com/WorkArea/downloadasset.aspx?id=17711,         
http://www.bloomberg.com/news/2013-12-06/tesla-s-industrial-grade-solar-power-storage-system.html,Ashlee Vance        
http://www.issi.com/WW/pdf/Ind-Memory.pdf,         
http://www.amazon.com/Titan-Elite-Industrial-Grade-Scissor/dp/B0046EBW1C,         
http://www.cactus-tech.com/en/cactus-difference/industrial-grade-vs-commercial-grade,         
https://www.blcklst.com/help/article/368,         
http://www.enrollamerica.org/ten-ways-to-make-health-coverage-enrollment-and-renewal-easy/,Jennifer Sullivan        
https://www.blcklst.com/help/article/325,         
http://www.fcps.edu/news/starttimes/communityengagementprocess.pdf,         
http://www.surrey.ac.uk/research/fellowships_strategy/Process/,         
http://www.washingtonpost.com/national/health-science/how-do-the-health-laws-online-exchanges-work-what-you-need-to-know-to-get-started/2013/09/16/ef7974c8-1988-11e3-a628-7e6dde8f889d_story.html,Mary Agnes Carey AND Julie Appleby    
http://together.scienceonline.com/faqs/,         
http://www.health.state.mn.us/topics/cannabis/,         
http://www.uspto.gov/web/offices/com/oqm-old/Facilitation.pdf,         
http://www.admin.cam.ac.uk/univ/plagiarism/examiners/detection.html,         
http://www.bbc.com/news/world-middle-east-27178999,         
http://www.youtube.com/watch?v=pkn_6eN4ti8,Top World News         
http://www.health.state.mn.us/divs/eh/hazardous/topics/toxfreekids/priority.html,         
http://www.health.state.mn.us/divs/eh/hazardous/topics/toxfreekids/,         
http://www.maine.gov/dep/safechem/priority.html,         
http://www.medicalnewstoday.com/articles/276702.php,Honor Whiteman        
http://www.walmartsustainabilityhub.com/app/answers/detail/a_id/311,         
http://www.emb.gov.ph/portal/chemical/Permitings/PriorityChemicalList.aspx,         
http://www.amazon.com/Encyclopedia-Environmentally-Hazardous-Priority-Chemicals/dp/044453105X,         
http://www.cleanwateraction.org/files/publications/mn/priority-chemical-list.pdf,         
http://www.biomonitoring.ca.gov/chemicals/priority-chemicals,         
http://4therecord.org/conflict/syria/syria-archive/,         
http://www.nytimes.com/2014/02/28/world/europe/crimea-ukraine.html,Andrew Higgins AND Steven Erlanger     
http://www.usubc.org/site/recent-news/ukraine-in-the-news-2-27-2014-thursday,         
http://www.theoccidentalobserver.net/2014/02/competing-nationalisms-in-the-ukraine/,Kevin MacDonald        
http://ex-army.blogspot.com/2014_02_01_archive.html,         
http://www.youtube.com/watch?v=iDsZTCg5b8s,Free Thinking News         
http://gawker.com/pro-russia-gunmen-seize-government-buildings-in-ukrain-1532352490,Taylor Berman        
http://www.telegraphindia.com/1140228/jsp/foreign/story_18029825.jsp,ANDREW HIGGINS AND STEVEN LEE MYERS    
http://www.youtube.com/watch?v=LOd3uhU3kO8,Free Thinking News         
